,x,y,z
0,-239.53125,-239.53125,11.0
1,-239.53125,-239.53125,9.5
2,-239.53125,-239.53125,8.0
3,-239.53125,-239.53125,6.5
4,-239.53125,-239.53125,5.0
5,-239.53125,-239.53125,3.5
6,-239.53125,-239.53125,2.0
7,-239.53125,-239.53125,0.5
8,-239.53125,-239.53125,-1.0
9,-239.53125,-239.53125,-2.5
10,-239.53125,-239.53125,-4.0
11,-239.53125,-239.53125,-5.5
12,-239.53125,-239.53125,-7.0
13,-239.53125,-239.53125,-8.5
14,-239.53125,-239.53125,-10.0
15,-239.53125,-239.53125,-11.5
16,-239.53125,-239.53125,-13.0
17,-239.53125,-239.53125,-14.5
18,-239.53125,-239.53125,-16.0
19,-239.53125,-239.53125,-17.5
20,-239.53125,-239.53125,-19.0
21,-239.53125,-239.53125,-20.5
22,-239.53125,-239.53125,-22.0
23,-239.53125,-239.53125,-23.5
24,-239.53125,-239.53125,-25.0
25,-239.53125,-239.53125,-26.5
26,-239.53125,-239.53125,-28.0
27,-239.53125,-239.53125,-29.5
28,-239.53125,-239.53125,-31.0
29,-239.53125,-239.53125,-32.5
30,-239.53125,-239.53125,-34.0
31,-239.53125,-239.53125,-35.5
32,-239.53125,-239.53125,-37.0
33,-239.53125,-239.53125,-38.5
34,-239.53125,-239.53125,-40.0
35,-239.53125,-239.53125,-41.5
36,-239.53125,-239.53125,-43.0
37,-239.53125,-239.53125,-44.5
38,-239.53125,-239.53125,-46.0
39,-239.53125,-239.53125,-47.5
40,-239.53125,-239.53125,-49.0
41,-239.53125,-239.53125,-50.5
42,-239.53125,-239.53125,-52.0
43,-239.53125,-239.53125,-53.5
44,-239.53125,-239.53125,-55.0
45,-239.53125,-239.53125,-56.5
46,-239.53125,-239.53125,-58.0
47,-239.53125,-239.53125,-59.5
48,-239.53125,-239.53125,-61.0
49,-239.53125,-239.53125,-62.5
50,-239.53125,-239.53125,-64.0
51,-239.53125,-239.53125,-65.5
52,-239.53125,-239.53125,-67.0
53,-239.53125,-239.53125,-68.5
54,-239.53125,-239.53125,-70.0
55,-239.53125,-239.53125,-71.5
56,-239.53125,-239.53125,-73.0
57,-239.53125,-239.53125,-74.5
58,-239.53125,-239.53125,-76.0
59,-239.53125,-239.53125,-77.5
60,-239.53125,-239.53125,-79.0
