,x,y,z,SegmentationRegionSlice
0,-239.53125,-239.53125,11.0,Outside of AOI
1,-239.53125,-239.53125,9.5,Outside of AOI
2,-239.53125,-239.53125,8.0,Outside of AOI
3,-239.53125,-239.53125,6.5,Outside of AOI
4,-239.53125,-239.53125,5.0,Outside of AOI
5,-239.53125,-239.53125,3.5,Outside of AOI
6,-239.53125,-239.53125,2.0,Outside of AOI
7,-239.53125,-239.53125,0.5,Outside of AOI
8,-239.53125,-239.53125,-1.0,Outside of AOI
9,-239.53125,-239.53125,-2.5,Outside of AOI
10,-239.53125,-239.53125,-4.0,Outside of AOI
11,-239.53125,-239.53125,-5.5,Outside of AOI
12,-239.53125,-239.53125,-7.0,Outside of AOI
13,-239.53125,-239.53125,-8.5,Outside of AOI
14,-239.53125,-239.53125,-10.0,Outside of AOI
15,-239.53125,-239.53125,-11.5,Outside of AOI
16,-239.53125,-239.53125,-13.0,Outside of AOI
17,-239.53125,-239.53125,-14.5,Outside of AOI
18,-239.53125,-239.53125,-16.0,Outside of AOI
19,-239.53125,-239.53125,-17.5,Outside of AOI
20,-239.53125,-239.53125,-19.0,Outside of AOI
21,-239.53125,-239.53125,-20.5,Outside of AOI
22,-239.53125,-239.53125,-22.0,Outside of AOI
23,-239.53125,-239.53125,-23.5,Outside of AOI
24,-239.53125,-239.53125,-25.0,Outside of AOI
25,-239.53125,-239.53125,-26.5,Outside of AOI
26,-239.53125,-239.53125,-28.0,Outside of AOI
27,-239.53125,-239.53125,-29.5,Outside of AOI
28,-239.53125,-239.53125,-31.0,Outside of AOI
29,-239.53125,-239.53125,-32.5,Outside of AOI
30,-239.53125,-239.53125,-34.0,Outside of AOI
31,-239.53125,-239.53125,-35.5,Outside of AOI
32,-239.53125,-239.53125,-37.0,Outside of AOI
33,-239.53125,-239.53125,-38.5,Outside of AOI
34,-239.53125,-239.53125,-40.0,Outside of AOI
35,-239.53125,-239.53125,-41.5,Outside of AOI
36,-239.53125,-239.53125,-43.0,Outside of AOI
37,-239.53125,-239.53125,-44.5,Outside of AOI
38,-239.53125,-239.53125,-46.0,Outside of AOI
39,-239.53125,-239.53125,-47.5,Outside of AOI
40,-239.53125,-239.53125,-49.0,Outside of AOI
41,-239.53125,-239.53125,-50.5,Outside of AOI
42,-239.53125,-239.53125,-52.0,Outside of AOI
43,-239.53125,-239.53125,-53.5,Outside of AOI
44,-239.53125,-239.53125,-55.0,Outside of AOI
45,-239.53125,-239.53125,-56.5,Outside of AOI
46,-239.53125,-239.53125,-58.0,Outside of AOI
47,-239.53125,-239.53125,-59.5,Outside of AOI
48,-239.53125,-239.53125,-61.0,Outside of AOI
49,-239.53125,-239.53125,-62.5,Outside of AOI
50,-239.53125,-239.53125,-64.0,Outside of AOI
51,-239.53125,-239.53125,-65.5,Outside of AOI
52,-239.53125,-239.53125,-67.0,Outside of AOI
53,-239.53125,-239.53125,-68.5,Outside of AOI
54,-239.53125,-239.53125,-70.0,Outside of AOI
55,-239.53125,-239.53125,-71.5,Outside of AOI
56,-239.53125,-239.53125,-73.0,Outside of AOI
57,-239.53125,-239.53125,-74.5,Outside of AOI
58,-239.53125,-239.53125,-76.0,Outside of AOI
59,-239.53125,-239.53125,-77.5,Outside of AOI
60,-239.53125,-239.53125,-79.0,Outside of AOI
61,-239.53125,-239.53125,-80.5,Outside of AOI
62,-239.53125,-239.53125,-82.0,Outside of AOI
63,-239.53125,-239.53125,-83.5,Outside of AOI
64,-239.53125,-239.53125,-85.0,Outside of AOI
65,-239.53125,-239.53125,-86.5,Outside of AOI
66,-239.53125,-239.53125,-88.0,Outside of AOI
67,-239.53125,-239.53125,-89.5,Outside of AOI
68,-239.53125,-239.53125,-91.0,Outside of AOI
69,-239.53125,-239.53125,-92.5,Outside of AOI
70,-239.53125,-239.53125,-94.0,Outside of AOI
71,-239.53125,-239.53125,-95.5,Outside of AOI
72,-239.53125,-239.53125,-97.0,Outside of AOI
73,-239.53125,-239.53125,-98.5,Outside of AOI
74,-239.53125,-239.53125,-100.0,Outside of AOI
75,-239.53125,-239.53125,-101.5,Outside of AOI
76,-239.53125,-239.53125,-103.0,Outside of AOI
77,-239.53125,-239.53125,-104.5,Outside of AOI
78,-239.53125,-239.53125,-106.0,Outside of AOI
79,-239.53125,-239.53125,-107.5,Outside of AOI
80,-239.53125,-239.53125,-109.0,Outside of AOI
81,-239.53125,-239.53125,-110.5,Outside of AOI
82,-239.53125,-239.53125,-112.0,Outside of AOI
83,-239.53125,-239.53125,-113.5,Outside of AOI
84,-239.53125,-239.53125,-115.0,Outside of AOI
85,-239.53125,-239.53125,-116.5,Outside of AOI
86,-239.53125,-239.53125,-118.0,Outside of AOI
87,-239.53125,-239.53125,-119.5,Outside of AOI
88,-239.53125,-239.53125,-121.0,Outside of AOI
89,-239.53125,-239.53125,-122.5,Outside of AOI
90,-239.53125,-239.53125,-124.0,Outside of AOI
91,-239.53125,-239.53125,-125.5,Outside of AOI
92,-239.53125,-239.53125,-127.0,Outside of AOI
93,-239.53125,-239.53125,-128.5,Outside of AOI
94,-239.53125,-239.53125,-130.0,Outside of AOI
95,-239.53125,-239.53125,-131.5,Outside of AOI
96,-239.53125,-239.53125,-133.0,Outside of AOI
97,-239.53125,-239.53125,-134.5,Outside of AOI
98,-239.53125,-239.53125,-136.0,Outside of AOI
99,-239.53125,-239.53125,-137.5,Outside of AOI
100,-239.53125,-239.53125,-139.0,Outside of AOI
101,-239.53125,-239.53125,-140.5,Outside of AOI
102,-239.53125,-239.53125,-142.0,Outside of AOI
103,-239.53125,-239.53125,-143.5,Outside of AOI
104,-239.53125,-239.53125,-145.0,Outside of AOI
105,-239.53125,-239.53125,-146.5,Outside of AOI
106,-239.53125,-239.53125,-148.0,Outside of AOI
107,-239.53125,-239.53125,-149.5,Outside of AOI
108,-239.53125,-239.53125,-151.0,Outside of AOI
109,-239.53125,-239.53125,-152.5,Outside of AOI
110,-239.53125,-239.53125,-154.0,Outside of AOI
111,-239.53125,-239.53125,-155.5,Outside of AOI
112,-239.53125,-239.53125,-157.0,Outside of AOI
113,-239.53125,-239.53125,-158.5,Outside of AOI
114,-239.53125,-239.53125,-160.0,Outside of AOI
115,-239.53125,-239.53125,-161.5,Outside of AOI
116,-239.53125,-239.53125,-163.0,Outside of AOI
117,-239.53125,-239.53125,-164.5,Outside of AOI
118,-239.53125,-239.53125,-166.0,Outside of AOI
119,-239.53125,-239.53125,-167.5,Outside of AOI
120,-239.53125,-239.53125,-169.0,Outside of AOI
121,-239.53125,-239.53125,-170.5,Outside of AOI
122,-239.53125,-239.53125,-172.0,Outside of AOI
123,-239.53125,-239.53125,-173.5,Outside of AOI
124,-239.53125,-239.53125,-175.0,Outside of AOI
125,-239.53125,-239.53125,-176.5,Outside of AOI
126,-239.53125,-239.53125,-178.0,Outside of AOI
127,-239.53125,-239.53125,-179.5,Outside of AOI
