,x,y,z
0,58.46917,46.98316,-1017.0
1,59.30024,47.23241,-1016.5
2,58.3396,47.93643,-1016.5
3,57.52317,47.461,-1016.5
4,57.42165,48.60093,-1016.5
5,56.56377,47.86691,-1016.5
6,60.21416,47.92981,-1016.5
7,59.29933,48.57096,-1016.0
8,55.2604,48.18562,-1017.0
9,55.73737,48.38117,-1017.0
10,54.81585,49.20765,-1017.0
11,56.52404,49.25085,-1016.5
12,58.35634,48.91906,-1016.0
13,57.61599,49.40566,-1016.0
14,58.83946,49.25679,-1016.0
15,58.39544,49.93566,-1016.0
16,61.14199,48.59922,-1016.5
17,60.24759,49.25075,-1016.0
18,55.70305,49.91462,-1016.5
19,56.69196,50.06454,-1016.0
20,57.41925,50.5985,-1016.0
21,59.50369,49.75358,-1016.0
22,59.17282,50.61018,-1016.0
23,61.20571,49.90667,-1016.5
24,54.73345,50.52884,-1017.0
25,56.07811,50.56125,-1016.5
26,56.63873,51.2327,-1016.0
27,58.33382,51.24223,-1016.0
28,60.27524,50.58065,-1016.0
29,55.68296,51.18357,-1016.5
30,57.45152,51.85308,-1016.0
31,59.84292,51.24888,-1016.0
32,59.2784,51.91141,-1016.0
33,62.09086,50.61333,-1016.5
34,61.2149,51.24807,-1016.5
35,54.75425,51.73066,-1017.0
36,56.11436,51.82489,-1016.5
37,56.73537,52.31116,-1016.5
38,58.40128,52.42418,-1016.0
39,60.38758,51.91342,-1016.0
40,62.0751,51.90327,-1016.5
41,55.76639,52.3836,-1017.0
42,57.47339,52.81386,-1016.5
43,59.78671,52.52065,-1016.5
44,59.2992,52.84619,-1016.5
45,61.15805,52.52417,-1016.5
46,54.96484,53.06498,-1017.5
47,56.61799,53.06468,-1016.5
48,58.36927,53.14092,-1016.5
49,60.21985,53.12651,-1016.5
50,61.80263,53.01281,-1017.0
51,55.91629,53.82122,-1017.5
52,57.50649,53.67609,-1017.0
53,59.29026,53.70881,-1016.5
54,61.18776,53.77503,-1017.0
55,55.57346,53.72141,-1017.5
56,56.68215,54.0259,-1017.0
57,58.44105,54.31202,-1017.0
58,60.22666,54.42606,-1017.0
59,57.55748,54.20475,-1017.0
60,59.32046,54.38984,-1017.0
61,59.4508,45.52562,-1017.5
62,60.22892,45.92329,-1017.0
63,59.4277,46.43072,-1017.0
64,58.3162,46.02415,-1017.5
65,56.2879,47.20642,-1017.0
66,57.43907,46.61429,-1017.0
67,60.22977,46.89033,-1017.0
68,61.1582,46.54956,-1017.0
69,60.68025,47.23357,-1016.5
70,63.00432,46.63962,-1017.5
71,62.06607,47.22329,-1017.0
72,62.10865,45.99211,-1017.5
73,55.70041,47.66045,-1017.0
74,55.82045,46.91417,-1017.5
75,54.98417,47.45924,-1017.5
76,61.18565,47.55353,-1016.5
77,61.62888,47.89901,-1016.5
78,63.10417,47.84538,-1017.0
79,54.58471,48.54927,-1017.5
80,62.29241,48.38177,-1016.5
81,62.18149,49.27821,-1016.5
82,54.23946,49.24969,-1017.5
83,63.14536,49.33302,-1017.0
84,64.04002,48.55198,-1017.0
85,54.45822,49.90921,-1017.5
86,62.88786,50.08944,-1016.5
87,64.01671,49.93027,-1017.0
88,64.89713,49.25361,-1017.5
89,54.08349,50.60674,-1017.5
90,63.46703,50.59959,-1017.0
91,62.92289,51.11747,-1016.5
92,64.89549,50.58733,-1017.5
93,54.4254,51.1448,-1017.5
94,63.94631,51.25809,-1017.0
95,54.09224,51.7756,-1018.0
96,63.14922,51.91243,-1017.0
97,64.82602,51.86368,-1017.5
98,54.52427,52.32322,-1017.5
99,62.51274,52.59195,-1017.0
100,63.95345,52.53714,-1017.5
101,54.30881,52.85235,-1018.0
102,63.04057,53.24868,-1017.5
103,54.95929,53.57337,-1018.0
104,62.06356,53.88984,-1017.5
105,55.89651,53.96532,-1017.5
106,57.44715,54.46782,-1017.5
107,59.36731,54.77691,-1017.5
108,61.15609,54.47292,-1017.5
109,56.5572,54.22601,-1017.5
110,58.37611,54.67076,-1017.5
111,60.22415,54.71057,-1017.5
112,60.22936,44.01192,-1018.0
113,61.11311,44.54183,-1018.0
114,60.44778,45.11931,-1017.5
115,59.30775,44.61567,-1018.0
